Unbounded DC: -6.557 | DC: 0.000 | Now: 01.37 | Ref: 02.10 | Error: -0.10 | Integral: -52.35 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -6.628 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -52.92 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -6.697 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -53.48 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -6.768 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -54.04 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -6.838 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -54.60 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -6.908 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -55.16 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -6.979 | DC: 0.000 | Now: 01.37 | Ref: 02.10 | Error: -0.10 | Integral: -55.73 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.049 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -56.29 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.120 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -56.86 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.190 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -57.42 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.260 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -57.98 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.330 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -58.54 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.400 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -59.10 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.470 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -59.66 | dt: 05.44 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.540 | DC: 0.000 | Now: 01.38 | Ref: 02.10 | Error: -0.10 | Integral: -60.22 | dt: 05.48 |  p_: 00.13 | i_: 00.13
Unbounded DC: -7.611 | DC: 0.000 | Now: 01.37 | Ref: 02.10 | Error: -0.10 | Integral: -60.78 | dt: 05.44 |  p_: 00.13 | i_: 00.13
